shopId,shopName,shop_location,shop_rating,shop_response_rate,shop_response_time,shop_follower_count,shop_item_count,shop_rating_good,shop_rating_normal,shop_rating_bad,is_official_shop,is_shopee_verified,positive_rating_pct,response_time_bucket,listing_count,avg_price_twd,avg_discount_pct,avg_product_rating,total_ratings,total_comments,total_likes,free_shipping_count,discounted_count,shopee_fulfilled_count,avg_models_count,free_shipping_rate,discount_rate,shopee_fulfilled_rate,total_engagement_score,shop_tier,follower_tier
1522861252,阿姐優選百貨,桃園市蘆竹區,4.926470756530762,42.0,8864,83,2367,211,1,3,false,false,98.14,2. 1-6 hours,1,3946.0,0.0,0.0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,3. Established,4. < 100
1522870036,Beauty至雅,桃園市大園區,4.803587913513184,98.0,6103,606,4964,3224,125,49,false,false,94.88,2. 1-6 hours,1,292.0,40.0,0.0,0,0,0,0,1,0,10.0,0.0,100.0,0.0,0,3. Established,3. 100-999
1522944542,動感光波萌物館-【節奏盒子、我的世界、山海經、哪吒、玩偶、文創小物】,桃園市大園區,4.914836883544922,66.0,8812,917,4006,7227,96,57,false,false,97.93,2. 1-6 hours,1,145.0,30.0,0.0,0,0,0,0,1,0,3.0,0.0,100.0,0.0,0,3. Established,3. 100-999
1523589509,Weee百貨家,桃園市蘆竹區,4.77419376373291,80.0,13083,64,1,122,3,4,false,false,94.57,2. 1-6 hours,2,492.5,0.5,0.0,0,0,0,0,1,0,2.0,0.0,50.0,0.0,0,3. Established,4. < 100
1524317031,FUFU好家居,桃園市楊梅區,4.698182106018066,75.0,11386,114,90,269,10,14,false,false,91.81,2. 1-6 hours,1,578.0,0.0,0.0,0,0,2,0,0,0,9.0,0.0,0.0,0.0,2,3. Established,3. 100-999
1524761055,Alife_taiwan,海外,5.0,95.0,10180,12,381,48,0,0,false,false,100.0,2. 1-6 hours,1,325.0,48.0,0.0,0,0,0,0,1,0,2.0,0.0,100.0,0.0,0,3. Established,4. < 100
1524875143,繆繆優選店✨全新賣場✨品質保證✨滿99出貨,桃園市蘆竹區,4.8278279304504395,41.0,13326,708,4730,3377,99,54,false,false,95.67,2. 1-6 hours,1,380.0,15.0,0.0,0,0,0,0,1,0,84.0,0.0,100.0,0.0,0,3. Established,3. 100-999
1525726425,欣欣の優選店,桃園市中壢區,4.893688201904297,100.0,3066,263,5004,919,12,8,false,false,97.87,1. Under 1 hour,1,404.0,50.0,0.0,0,0,0,0,1,0,24.0,0.0,100.0,0.0,0,3. Established,3. 100-999
1526556988,新一居家優選【日用百貨-現貨隔日送達】,嘉義縣民雄鄉,4.895007133483887,89.0,9793,565,721,2159,51,11,false,true,97.21,2. 1-6 hours,2,49.5,25.0,5.0,11,11,14,0,1,0,2.0,0.0,50.0,0.0,36,3. Established,3. 100-999
1526565596,簡宜·生活館,臺中市南屯區,4.818181991577148,98.0,4032,226,2170,212,5,8,false,false,94.22,2. 1-6 hours,1,4583.0,1.0,4.0,2,2,8,0,1,0,80.0,0.0,100.0,0.0,12,3. Established,3. 100-999
